ID                   Definition
K07370               BTK; Bruton agammaglobulinemia tyrosine kinase [EC:2.7.10.2]
K07371               BLNK; B-cell linker protein
K09253               RELB; transcription factor RelB
K09849               TRAF5; TNF receptor-associated factor 5
K10030               IL8, CXCL8; interleukin 8
K10031               CXCL12; C-X-C motif chemokine 12
K10130               LRDD, PIDD; leucine-rich repeats and death domain-containing protein
K10160               TLR4; toll-like receptor 4
K10577               UBE2I, UBC9; ubiquitin-conjugating enzyme E2 I [EC:6.3.2.19]
K10652               TRIM25, EFP; tripartite motif-containing protein 25 [EC:6.3.2.19]
K10784               TRAV; T cell receptor alpha chain V region
K10785               TRBV; T-cell receptor beta chain V region
K11859               TNFAIP3, A20, OTUD7C; tumor necrosis factor, alpha-induced protein 3 [EC:3.4.19.12 6.3.2.19]
K11987               PTGS2, COX2; prostaglandin-endoperoxide synthase 2 [EC:1.14.99.1]
K12646               DDX58, RIG-I; ATP-dependent RNA helicase DDX58 [EC:3.6.3.14]
K12793               MAP3K7IP3, TAB3; TAK1-binding protein 3
K12964               CCL4; C-C motif chemokine 4
K16060               BIRC2_3; baculoviral IAP repeat-containing protein 2/3
K16062               CCL21, SLC; C-C motif chemokine 21
K16065               PIAS4; E3 SUMO-protein ligase PIAS4 [EC:6.3.2.-]
K16072               ERC1; ELKS/RAB6-interacting/CAST family member 1
K16595               CCL13; C-C motif chemokine 13
K18052               PRKCQ; novel protein kinase C theta type [EC:2.7.11.13]
